country,pop_women,par_women,pop_u40,par_u40
Uganda,50.2581168283895,34.3,55.27631507844982,21.88
United Arab Emirates,27.5963894193178,22.5,81.8094891737238,20
United Kingdom,50.6587663221005,32.15,52.32754861887863,20.03
United Republic of Tanzania,50.5462204023813,37.18,55.72417100798564,10.84
United States of America,50.5044272586923,23.5,40.45514989620183,6.67
Uruguay,51.6919539578152,20.2,41.14714161253305,21.21
Venezuela (Bolivarian Republic of),50.2611230729823,22.16,63.57781331997894,14.02
Viet Nam,50.5149176943803,26.72,68.39181976535585,8.6
Zambia,50.3793056890647,17.96,58.22115938343473,10.39
Zimbabwe,51.2940793706047,31.48,65.49856841017666,15.76
