country,region,pop_women,par_women,rep_women,rep_u40,total_seats,placement_id,x,y,rotation
Germany,Europe,50.757793792732,30.75,0.6058182931584211,0.3636736374335147,598,32,544.4033435600002,164.60018082546503,4.340358271406951
Ghana,Africa,50.1703202542393,12.73,0.2537356735115586,0.21333461459410438,275,64,1045.1819718453687,239.79498201295223,4.75372572582666
Greece,Europe,50.7798498124111,18.67,0.36766552222919074,0.31044629417093594,300,48,808.4656806174078,418.7252888775373,4.505705253174835
Guatemala,America,50.7829630818686,12.66,0.24929620549298134,0.2804586274957267,158,3,170.3280434077842,502.52238792418564,3.9269908169872414
Haiti,America,50.5518146246721,2.54,0.05024547622787687,0.47290811651356085,119,13,225.23091279741516,247.06272148947528,4.092337798755125
Hungary,Europe,52.4302483202795,12.56,0.23955637065220453,0.551352948380764,199,40,688.0323948209777,284.31363036204516,4.423031762290893
Iceland,Europe,49.8253856440136,38.1,0.7646704487590379,0.36591850077560334,63,19,317.48660121386513,186.78907202322148,4.175011289639067
India,Asia,48.1803271318099,11.81,0.24512079313389995,0.2643918393165583,545,98,1641.5625948589666,255.51338837281196,5.249766671130312
Indonesia,Oceania,49.6580543600788,19.82,0.3991296126159492,0.2792581015305086,560,107,1588.8245062739643,507.4943110159372,5.3324401620142545
Iran,Middle East,49.7107159288847,5.88,0.11828435559873704,0.16578034988859588,290,86,1455.5966564399996,164.6001808254648,5.084419689362428
Iraq,Middle East,49.3769447940669,25.23,0.5109672156757584,0.5160305782087389,329,79,1380.4482989988064,54.29103457206406,5.001746198478486
Ireland,Europe,50.4044604687617,22.15,0.4394452354812432,0.34888318146616776,158,25,414.40454820350624,134.3397019937629,4.257684780523009
Israel,Middle East,50.3301477592528,27.5,0.5463921968109927,0.31787574336159874,120,67,1164.9235083591298,9.10023820034121,4.8363992167106025
Italy,Europe,51.2648495220857,35.71,0.6965786563874644,0.9821743807328911,630,29,554.9474566346648,421.8248161991961,4.257684780523009
Japan,Asia,51.1655927356976,10.11,0.19759372381796678,0.3714000878565808,465,117,1829.6719565922158,502.5223879241854,5.497787143782138
Kazakhstan,Middle East,51.5672168969211,27.1,0.5255276827169248,0.03872646529580235,107,91,1585.5954517964938,134.33970199376267,5.16709318024637
Kuwait,Middle East,42.5785895165628,3.08,0.07233682550244883,0.08981656784626917,65,68,1155.028097857582,88.48588457930487,4.8363992167106025
Kyrgyzstan,Middle East,50.4142849911515,19.17,0.3802493678798507,0.532481714352658,120,92,1550.459724688704,206.21098054512117,5.16709318024637
Latvia,Europe,54.0734031160113,31,0.5732947847482676,0.36032996323649386,100,56,948.206032274821,79.931660670984,4.671052234942719
Lebanon,Middle East,49.8383356712432,4.69,0.09410426606011521,0.12477400328976626,128,73,1273.6204562608457,27.238550746595365,4.919072707594545
Lithuania,Europe,53.9280646827603,21.28,0.39459973439029755,0.3107352571134046,141,50,844.9719021424177,88.48588457930487,4.588378744058777
Luxembourg,Europe,49.743254870102,25,0.5025807029573,0.20481317537935514,60,27,484.67600241908553,278.08225909647945,4.257684780523009
Malaysia,Oceania,48.3767498822898,13.9,0.2873281076926716,0.14955934881138971,223,112,1706.620500061295,497.88909661794594,5.415113652898196
Malta,Europe,49.7770577189558,11.94,0.23986954125360205,0.35290982657602715,65,30,590.0831837424544,493.6960947505545,4.257684780523009
Micronesia,Oceania,48.7454755633042,0,0,0,14,113,1654.9165610324198,558.9358220739305,5.415113652898196
Mongolia,Asia,50.5324902792684,17.11,0.33859403930899473,0.27029446989822287,76,109,1861.7323171479209,314.74892024999235,5.415113652898196
Montenegro,Europe,50.6630797873947,23.46,0.4630590974423351,0.2689335165870117,81,41,710.8592927609062,360.98782895870545,4.423031762290893
Morocco,Africa,50.4721570672747,20.51,0.40636265996442505,0.23037216295777718,395,63,1048.4879697852737,159.86332134196823,4.75372572582666
Mozambique,Africa,51.1597454541361,39.6,0.7740460717401492,0.3114311446163394,250,96,1409.9168162575456,493.6960947505544,5.16709318024637
Myanmar,Asia,51.1575275881723,10.16,0.1986022483688013,0.2212292000151832,440,104,1728.2829419704296,312.17061887109037,5.3324401620142545
Namibia,Africa,51.3508009533533,46.15,0.8987201590472236,0.16733428379723636,104,72,1115.446455851391,406.02847009515926,4.8363992167106025
Netherlands,Europe,50.2447824435206,36,0.7164923052551189,0.5463701851525596,150,26,449.5402753112959,206.21098054512117,4.257684780523009
New Zealand,Oceania,50.8263287018295,38.33,0.7541367039288105,0.32748697077907074,120,114,1603.2126220035445,619.982547529915,5.415113652898196
Nicaragua,America,50.6984226343939,45.65,0.900422491034878,0.20454502911891823,92,9,241.67556090982953,436.84237116196164,4.0096643078711836
Niger,Africa,49.8551729808702,16.96,0.34018536063464627,0.18737496705396472,171,76,1224.3687741338936,262.1305936251606,4.919072707594545
Nigeria,Africa,49.326259447423,5.56,0.11271886541338938,0.4655836159248781,360,70,1135.2372768544865,247.25717733723195,4.8363992167106025
Norway,Europe,49.5463569736624,41.42,0.8359847732501874,0.5071134138841352,169,37,619.5517010011924,54.29103457206452,4.423031762290893
Oman,Middle East,34.1559723380364,1.18,0.03454739886546697,0.6424542373748241,85,93,1515.3239975809145,278.08225909647945,5.16709318024637
Paraguay,America,49.2765398175442,15,0.30440449056570057,0.4422392401506877,80,11,345.08343896758004,558.9358220739307,4.0096643078711836
Peru,America,50.0548320644059,27.69,0.5531933453371911,0.259948953463278,130,5,283.4651283976318,615.6594729140332,3.9269908169872414
Philippines,Oceania,49.6742477683828,29.45,0.592862525816539,0.3553507877826336,297,118,1773.103414097292,559.0909304191092,5.497787143782138
Poland,Europe,51.7069030154273,28.04,0.5422873613535502,0.2404500253874163,460,44,742.7967711148048,105.535898372784,4.505705253174835
Portugal,Europe,52.6745188030828,34.78,0.6602813047048565,0.4873890126889834,230,24,522.2406208497056,530.4106537711754,4.175011289639067
Qatar,Middle East,24.9267111066822,9.76,0.3915478443276698,0,41,80,1357.6214010588778,130.96523316872435,5.001746198478486
South Korea,Asia,49.9622280081173,17,0.3402570437258729,0.05536905307002009,300,110,1810.0283781190456,375.7956457059769,5.415113652898196
Romania,Europe,51.5509306651101,20.67,0.4009626932688831,0.4622498302451274,329,45,759.2139984904555,183.8332459989722,4.505705253174835
Russia,Europe,53.5263493737332,15.78,0.2948080746142509,0.22847943909858384,450,61,1055.0999656650838,0,4.75372572582666
Rwanda,Africa,50.9639300196987,61.25,1.2018303921288154,0.3599080522321168,80,77,1207.9515467582428,340.4279412513489,4.919072707594545
Sao Tome and Principe,Africa,50.201874372966,14.55,0.289829815753558,0.282561181547518,55,60,961.4300240344412,399.65830335492046,4.671052234942719
Senegal,Africa,50.8704105582097,41.82,0.8220889027845855,0.2785731957940892,165,57,951.5120302147261,159.86332134196823,4.671052234942719
Serbia,Europe,51.1359387234345,34.4,0.6727167009889117,0.5802873967540546,250,46,775.6312258661063,262.1305936251606,4.505705253174835
Seychelles,Africa,50.7214862511215,21.21,0.41816597989636056,0.6009307014014202,35,95,1445.0525433653352,421.824816199196,5.16709318024637
Singapore,Asia,50.5902519831987,23,0.45463303894272805,0.3968525091870583,101,106,1635.3106515061195,442.38641363432157,5.3324401620142545
Slovakia,Europe,51.3857772091346,20,0.38921275664669125,0.28040879041039235,150,39,665.2054968810494,207.6394317653851,4.423031762290893
Slovenia,Europe,50.344426719898,24.44,0.48545592019504313,0.5051433989879668,90,34,602.564618850213,313.65475491366965,4.340358271406951
Solomon Islands,Oceania,49.162010259363,2.04,0.04149545531677029,0.08318144268544611,50,119,1716.5348716023682,615.659472914033,5.497787143782138
Somalia,Africa,50.1870235045106,24.36,0.48538443404221066,0.5399884586010528,275,94,1480.1882704731247,349.9535376478377,5.16709318024637
South Africa,Africa,50.9218569691883,42.75,0.839521622824303,0.22687370892358877,400,78,1191.534319382592,418.7252888775372,4.919072707594545
Spain,Europe,50.9651851635483,39.14,0.7679752339641063,0.2974826900360347,350,23,481.2898169225375,461.68633742158465,4.175011289639067
Sri Lanka,Asia,51.9384991037223,5.78,0.11128546453483794,0.21897644800454685,225,102,1477.7593791502943,530.4106537711752,5.249766671130312
Sudan,Africa,50.0237631528138,30.52,0.6101100372390371,0.16605307097663236,426,81,1334.7945031189495,207.63943176538464,5.001746198478486
Suriname,America,49.8160267094074,25.49,0.5116827190713384,0.3861396373106423,51,16,364.6893484938804,442.3864136343219,4.092337798755125
Sweden,Europe,49.9559011754473,46.13,0.9234144298186,0.6513177991666488,349,43,726.379543739154,27.238550746595592,4.505705253174835
